Hotel ID	Hotel Name	Price start from (in SGD)	Web site	Location	star
80	Mandarin Oriental, Singapore	424	https://www.mandarinoriental.com/singapore/marina-bay/luxury-hotel?htl=MOSIN&kw=MOSIN&eng=google&src=local	1.290783, 103.858325	5
81	Marina Bay Sands	493	https://www.marinabaysands.com/	1.283381, 103.860728	5
82	Marina Mandarin Singapore	261	https://www.meritushotels.com/marina-mandarin-singapore/index.html	1.291804, 103.857119	5
83	Mercure Singapore Bugis	160	https://www.mercure-singapore-bugis.com/	1.299544, 103.853108	4
84	Mercure Singapore on Stevens	161	https://www.accorhotels.com/gb/hotel-9561-mercure-singapore-on-stevens/index.shtml	1.313972, 103.828444	4
85	Moon 23 Hotel	125	http://www.moon.com.sg/	1.305132, 103.854068	4
86	Naumi Hotel	278	https://naumihotels.com/singapore/	1.295927, 103.855165	5
87	Nostalgia Hotel	120	https://www.hotelnostalgia.com.sg/	1.285098, 103.833673	4
88	Novotel Singapore Clarke Quay	224	https://www.accorhotels.com/gb/hotel-5993-novotel-singapore-clarke-quay-/index.shtml	1.291392, 103.844853	4
89	Novotel Singapore on Stevens	194	https://www.accorhotels.com/gb/hotel-9543-novotel-singapore-on-stevens/index.shtml	1.313790, 103.828877	4
90	Oakwood Premier OUE Singapore	308	https://www.accorhotels.com/gb/hotel-9543-novotel-singapore-on-stevens/index.shtml	1.277220, 103.848615	4
91	Oasia Hotel Downtown, Singapore	183	https://www.oasiahotels.com/en/singapore/hotels/oasia-hotel-downtown?utm_source=googleplaces_ohd&utm_medium=organic	1.275934, 103.844276	4
92	Oasia Hotel Novena	172	https://www.oasiahotels.com/en/singapore/hotels/oasia-hotel-novena?utm_source=googleplaces_ohn&utm_medium=organic	1.320084, 103.844586	4
93	One Farrer Hotel & Spa	235	https://www.onefarrer.com/	1.312655, 103.854470	5
94	ONE°15 Marina Sentosa Cove	250	https://one15marina.com	1.245857, 103.839593	na
95	Orchard Hotel Singapore	210	https://www.millenniumhotels.com/en/singapore/orchard-hotel-singapore/?cid=gplaces-orchard-hotel-singapore	1.307727, 103.828438	5
96	Orchard Rendezvous Hotel, Singapore	141	https://www.rendezvoushotels.com.sg/en/hotels/orchard-rendezvous-hotel?utm_source=googleplaces_orh&utm_medium=organic	1.306702, 103.827705	4
97	Orchid Hotel	260	http://orchidhotel.com.sg/	1.276917, 103.843918	4
98	Pan Pacific Singapore	301	https://panpacific.com	1.292176, 103.858742	5
