Tourism ID	Tourism Name	Web site	Location
117	Bowyer Block	https://www.police.gov.sg/about-us/our-heritage/police-heritage-centre/about-police-heritage-centre#content	103.83628900034, 1.28073599984333
118	Church of St Teresa	https://www.museum.red-dot.sg/	103.827887999798, 1.27278099983804
119	Former St James Power Station	https://www.nhb.gov.sg/what-we-do/our-work/.../reflections-at-bukit-chandu	103.824848000284, 1.26468500020365
120	Chesed-El Synagogue	https://www.mindef.gov.sg/web/portal/rsaf/about-the-rsaf/air-force-museum	103.842663886538, 1.29725692190229
121	Former City Hall	https://www.mindef.gov.sg/oms/imindef/mindef_websites/.../navymuseum/home.html	103.851836986387, 1.29088580200351
122	College of Medicine Building	https://www.sdc.com.sg/	103.834176683404, 1.28084579132239
123	Hajjah Fatimah Mosque	https://www.science.edu.sg/	103.8628607049, 1.30288896820962
124	Jamae Mosque	https://www.singaporeartmuseum.sg/	103.84533788768, 1.28320036765143
125	MacDonald House	https://www.ura.gov.sg/Corporate/Singapore-City-Gallery	103.846126345904, 1.29920861632964
126	Former Siong Lim Temple (now Lian Shan Shuang Lin Monastery)	https://www.maritimegallery.sg/web/portal/home	103.857342547683, 1.33034490348587
